LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-05,102.6137,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-06,101.9519,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-07,101.2528,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-08,100.6242,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-09,100.055,
CAN,BCI,AMPLITUD,LTRENDIDX,M,2022-10,99.50957,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-02,96.91605,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-03,96.6783,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-04,96.46576,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-05,96.48083,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-06,96.89887,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-07,97.54304,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-08,98.20341,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-09,98.72998,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-10,99.10942,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-11,99.32637,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2003-12,99.37181,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-01,99.41395,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-02,99.67503,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-03,100.3114,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-04,101.0746,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-05,101.6174,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-06,101.6734,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-07,101.456,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-08,101.233,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-09,101.1752,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-10,101.2091,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-11,101.2032,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2004-12,101.0612,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-01,100.8565,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-02,100.7057,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-03,100.7048,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-04,100.8117,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-05,100.981,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-06,101.1906,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-07,101.4059,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-08,101.5908,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-09,101.7136,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-10,101.7822,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-11,101.7994,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2005-12,101.7714,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-01,101.7679,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-02,101.8892,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-03,102.2084,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-04,102.5887,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-05,102.8323,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-06,102.7688,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-07,102.4789,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-08,102.0441,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-09,101.5223,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-10,101.0677,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-11,100.8969,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2006-12,101.1863,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-01,101.6876,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-02,102.0915,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-03,102.1817,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-04,102.0851,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-05,101.9823,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-06,102.0061,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-07,102.145,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-08,102.3773,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-09,102.689,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-10,102.9992,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-11,103.1949,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2007-12,103.1681,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-01,102.9663,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-02,102.6124,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-03,102.0989,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-04,101.5339,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-05,101.048,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-06,100.7508,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-07,100.6102,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-08,100.6068,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-09,100.7323,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-10,100.8509,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-11,100.7637,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2008-12,100.2803,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-01,99.4963,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-02,98.48149,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-03,97.2696,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-04,96.07809,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-05,95.21863,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-06,94.98721,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-07,95.22212,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-08,95.81811,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-09,96.77409,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-10,97.8799,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-11,98.92886,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2009-12,99.78052,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-01,100.4803,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-02,101.0696,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-03,101.548,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-04,101.946,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-05,102.2519,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-06,102.4191,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-07,102.4661,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-08,102.3639,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-09,102.0435,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-10,101.5532,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-11,100.9281,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2010-12,100.2302,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-01,99.72294,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-02,99.4023,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-03,99.167,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-04,98.95769,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-05,98.65079,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-06,98.38561,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-07,98.15607,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-08,97.91811,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-09,97.71339,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-10,97.69657,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-11,97.65729,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2011-12,97.50904,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-01,97.51757,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-02,97.63992,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-03,97.77622,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-04,97.81706,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-05,97.76527,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-06,97.65304,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-07,97.38836,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-08,97.10391,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-09,96.92262,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-10,96.87044,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-11,97.00582,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2012-12,97.47837,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2013-01,98.24543,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2013-02,98.75083,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2013-03,98.86903,
ISR,BCI,AMPLITUD,LTRENDIDX,M,2013-04,98.76595,
