Country Name,Country Code,2015 [YR2015] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2016 [YR2016] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2017 [YR2017] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2018 [YR2018] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2019 [YR2019] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2020 [YR2020] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2021 [YR2021] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Uzbekistan,UZB,2753.97107219949,2867.05112822962,2943.09922167265,3047.30838365675,3161.4153813888,3159.72604728073,3327.78026301491
Vanuatu,VUT,2643.88608538737,2701.59143343525,2802.77809053689,2815.58629128556,2838.98740990445,2623.04808347471,2573.30771575617
"Venezuela, RB",VEN,..,..,..,..,..,..,..
Vietnam,VNM,2595.23497870737,2741.05293745428,2903.02829038899,3090.77224054251,3288.35307286665,3352.06015678922,3409.0247166398
Virgin Islands (U.S.),VIR,34007.3529411765,34614.7482633247,34435.4944455756,35183.2357524821,36273.0950999508,35620.8719163345,..
West Bank and Gaza,PSE,3272.15432360708,3483.09903532972,3462.97986107136,3417.79440837962,3378.4346209191,2922.46801084844,3052.58301814697
"Yemen, Rep.",YEM,1488.41648208462,1313.97379745933,1215.75276955277,1194.82073154654,..,..,..
Zambia,ZMB,1307.90964916032,1315.25056159518,1319.60777747699,1331.44924435525,1310.62222427718,1237.28330318262,1257.93475705756
Zimbabwe,ZWE,1410.32917419555,1393.71701118402,1421.2407698134,1462.59027964238,1342.98958704508,1213.11705786762,1289.19906757836
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 03/01/2023,,,,,,,,
